"model","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"reduced_model",22,1473.88818537211,1582.42349193819,-714.944092686056,1429.88818537211,NA,NA,NA
"full_model",26,1256.44641594128,1384.71541461028,-602.223207970639,1204.44641594128,225.441769430835,4,1.26410166267891e-47
