"field","value"
"analysis","Experiment 2 endpoint-aware sensitivity analysis"
"input_file","data/processed/exp2_written_manner_path.csv"
"included_observations_before_event_exclusion","1368"
"no_motion_observations_excluded","342"
"model_observations","1026"
"participants","114"
"excluded_participants","6"
"scenarios","5"
"rating_zero_observations","181"
"rating_100_observations","129"
"family","ordered beta"
"link","logit"
"modifier_order","manner_before_path"
"scenario_treatment","fixed effect (five stimulus scenarios)"
"sentence_reference","conflated"
"sentence_level_2","path"
"sentence_level_3","manner"
"event_reference","conflated"
"event_level_2","path"
"event_level_3","manner"
"polarity_reference","affirmative"
"full_model_formula","rating_prop ~ sentence_type * event_type * polarity + scenario +      (1 | participant_id)"
"full_model_convergence_code","0"
"full_model_positive_definite_hessian","TRUE"
"three_way_lrt_p_value","1.26410166267891e-47"
"random_seed","123"
"glmmTMB_version","1.1.14"
"emmeans_version","2.0.3"
"DHARMa_version","0.5.0"
