"contrast","event_type","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - path","conflated","affirmative",0.0635095358154499,0.187828215657912,Inf,-0.386147418305546,0.513166489936446,0.338125640990588,0.735268508611824
"conflated - manner","conflated","affirmative",-0.479517201171562,0.190645209615958,Inf,-0.935917981924331,-0.0231164204187929,-2.51523341256524,0.0237907201888867
"path - manner","conflated","affirmative",-0.543026736987012,0.18734041621533,Inf,-0.991515909096103,-0.094537564877921,-2.89860964311543,0.0112446368966348
"conflated - path","path","affirmative",-2.0828996483856,0.218089417638365,Inf,-2.60500130876603,-1.56079798800517,-9.55066812017195,3.86587601392432e-21
"conflated - manner","path","affirmative",-0.326906156078064,0.228239526016929,Inf,-0.873306970882742,0.219494658726614,-1.43229422958851,0.152059633826177
"path - manner","path","affirmative",1.75599349230754,0.22852057493328,Inf,1.20891985207436,2.30306713254072,7.68418114132712,3.07957340380751e-14
"conflated - path","manner","affirmative",0.5624011069207,0.186732526521792,Inf,0.115367210458456,1.00943500338294,3.01180044739055,0.00259703259571205
"conflated - manner","manner","affirmative",-0.824723655368301,0.206222657726866,Inf,-1.3184165322313,-0.331030778505297,-3.9991903142894,0.00012711911163225
"path - manner","manner","affirmative",-1.387124762289,0.206356393752347,Inf,-1.88113780049551,-0.893111724082489,-6.72198586661542,5.3779303623796e-11
"conflated - path","conflated","negative",-0.449834454742415,0.21322396063983,Inf,-0.960288309351464,0.0606193998666346,-2.10968060715399,0.10465762799193
"conflated - manner","conflated","negative",-0.127872655505968,0.232415899920349,Inf,-0.684271625071923,0.428526314059988,-0.550188930919919,0.582189794913951
"path - manner","conflated","negative",0.321961799236447,0.225202170112057,Inf,-0.217167646887108,0.861091245360003,1.42965673499613,0.30563112687188
"conflated - path","path","negative",1.47783247676414,0.221211064887694,Inf,0.94825765592666,2.00740729760162,6.68064446737515,4.75787465821328e-11
"conflated - manner","path","negative",-0.168894041486098,0.19884062120511,Inf,-0.644914472034496,0.3071263890623,-0.849394054708161,0.395662060263047
"path - manner","path","negative",-1.64672651825024,0.222463350886506,Inf,-2.17929928647247,-1.11415375002801,-7.40223731993658,4.0172671249385e-13
"conflated - path","manner","negative",-0.69823485810435,0.182914078374334,Inf,-1.13612746683492,-0.260342249373775,-3.81728330760529,0.00026985840633769
"conflated - manner","manner","negative",0.272333321827317,0.201395726594354,Inf,-0.209803979409338,0.754470623063972,1.35222989301975,0.176301783679006
"path - manner","manner","negative",0.970568179931667,0.19629444090826,Inf,0.500643253580624,1.44049310628271,4.94445067033391,2.29076619673672e-06
