"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.631049971394493,0.166726483293716,3.78494141379323,0.00015374479306203
"sentence_type2",-0.0635095358154499,0.187828215657912,-0.338125640990588,0.735268508611824
"sentence_type3",0.479517201171562,0.190645209615958,2.51523341256524,0.0118953600944434
"event_type2",-1.45372868147242,0.20648977744061,-7.04019685376695,1.91968427036194e-12
"event_type3",-0.13183725494135,0.204396349762496,-0.645007873646189,0.518922083289924
"polarity2",-1.76463491855077,0.223663934778941,-7.88967126190844,3.02983579129333e-15
"scenario2",-0.152464536131853,0.112350599944284,-1.35704247424991,0.174767715055954
"scenario3",-0.0550305333977296,0.109329482693075,-0.503345776840627,0.614721187258902
"scenario4",-0.051000582357016,0.110555118525719,-0.461313623802513,0.644573611936529
"scenario5",-0.207923192907642,0.10956643772116,-1.89769054495314,0.0577368588225179
"sentence_type2:event_type2",2.14640918420105,0.288286006708151,7.44541578243855,9.66395652784687e-14
"sentence_type3:event_type2",-0.152611045093498,0.297320898812184,-0.513287312473455,0.607750357690834
"sentence_type2:event_type3",-0.49889157110525,0.264592271095466,-1.88551074844226,0.0593609146783305
"sentence_type3:event_type3",0.345206454196739,0.280489502584287,1.23072860487178,0.218424385821289
"sentence_type2:polarity2",0.513343990557865,0.283787606328288,1.80890207715422,0.0704662176670076
"sentence_type3:polarity2",-0.351644545665594,0.301022930892391,-1.16816531093872,0.242740090009114
"event_type2:polarity2",2.88372837988993,0.296809500694174,9.71575496453283,2.583274736955e-22
"event_type3:polarity2",0.597782330034774,0.320521646671852,1.86502951124165,0.0621772677505845
"sentence_type2:event_type2:polarity2",-4.07407611570761,0.424027194107323,-9.60805385202829,7.3933124468641e-22
"sentence_type3:event_type2:polarity2",0.193632431073628,0.411158512763736,0.47094350490779,0.637681079409112
"sentence_type2:event_type3:polarity2",0.747291974467185,0.385632595140077,1.9378340521131,0.0526434718632318
"sentence_type3:event_type3:polarity2",-0.745412431530024,0.417129671703236,-1.78700409512067,0.0739368266981882
