"contrast","sentence_type","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - path","conflated","affirmative",1.45372868147242,0.20648977744061,Inf,0.959396325410578,1.94806103753426,7.04019685376695,5.75905281108581e-12
"conflated - manner","conflated","affirmative",0.13183725494135,0.204396349762496,Inf,-0.357483477546705,0.621157987429405,0.645007873646189,0.518922083289924
"path - manner","conflated","affirmative",-1.32189142653107,0.217836191512437,Inf,-1.84338686868124,-0.800395984380898,-6.06828193861257,2.58571601830957e-09
"conflated - path","path","affirmative",-0.692680502728636,0.1996041060139,Inf,-1.17052870048674,-0.214832304970528,-3.47027181234639,0.00103986383189823
"conflated - manner","path","affirmative",0.630728826046601,0.200705146689355,Inf,0.150244759152674,1.11121289294053,3.14256428622044,0.00167474932587899
"path - manner","path","affirmative",1.32340932877524,0.215108979070115,Inf,0.808442778121798,1.83837587942868,6.15227376605171,2.29139646822028e-09
"conflated - path","manner","affirmative",1.60633972656592,0.21694584498807,Inf,1.08697575600992,2.12570369712191,7.40433506184111,2.63618477944173e-13
"conflated - manner","manner","affirmative",-0.213369199255389,0.22015742062212,Inf,-0.740421617004892,0.313683218494115,-0.969166511182999,0.332462116991829
"path - manner","manner","affirmative",-1.8197089258213,0.219127947020129,Inf,-2.34429680456319,-1.29512104707941,-8.30432151885284,3.01174357462618e-16
"conflated - path","conflated","negative",-1.42999969841751,0.210351897945143,Inf,-1.93357789295167,-0.926421503883356,-6.79813071518109,3.17955823290373e-11
"conflated - manner","conflated","negative",-0.465945075093424,0.220770458346475,Inf,-0.994465092771557,0.06257494258471,-2.1105408693865,0.034811794755431
"path - manner","conflated","negative",0.964054623324088,0.209552999733505,Inf,0.462388974970704,1.46572027167747,4.60052886167273,8.42839245226557e-06
"conflated - path","path","negative",0.497667233089045,0.221825655922794,Inf,-0.0333789062716153,1.0287133724497,2.24350619417195,0.0248641908767481
"conflated - manner","path","negative",-0.714345478455358,0.206417251124032,Inf,-1.20850420798036,-0.220186748930362,-3.46068690754012,0.00107759811691111
"path - manner","path","negative",-1.2120127115444,0.225567914196702,Inf,-1.7520177416185,-0.672007681470304,-5.37316096511622,2.32104613183066e-07
"conflated - path","manner","negative",-1.47102108439764,0.224197526280663,Inf,-2.00774543348283,-0.934296735312457,-6.56127259208087,1.60051469872024e-10
"conflated - manner","manner","negative",-0.065739097760139,0.213849194665626,Inf,-0.577689749997103,0.446211554476825,-0.307408675833119,0.758532325338713
"path - manner","manner","negative",1.4052819866375,0.222241013402971,Inf,0.873241489859596,1.93732248341541,6.32323424519947,5.1228910140731e-10
