"contrast","gesture_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"path - manner","path",0.417065091728142,0.241819151850307,Inf,-0.161845073010736,0.995975256467021,1.72469834807095,0.253745546728451
"path - conflated","path",0.16706339918014,0.196744572060921,Inf,-0.30393913205764,0.638065930417921,0.849138542579007,0.595276851719313
"manner - conflated","path",-0.250001692548002,0.240037483723344,Inf,-0.824646579780952,0.324643194684948,-1.04151105348256,0.595276851719313
"path - manner","manner",-0.114496039369519,0.184289987451524,Inf,-0.555682546637274,0.326690467898236,-0.621281931551687,1
"path - conflated","manner",-0.175183226325134,0.238434032335152,Inf,-0.745989483324761,0.395623030674494,-0.734724085355774,1
"manner - conflated","manner",-0.0606871869556146,0.237883344383231,Inf,-0.630175108122341,0.508800734211111,-0.255113224143373,1
"path - manner","conflated",-0.672445175543065,0.241087888337598,Inf,-1.24960471020417,-0.0952856408819557,-2.78921176911813,0.0158509511184479
"path - conflated","conflated",-0.489476770968301,0.196447537565681,Inf,-0.959768207624628,-0.0191853343119742,-2.49164116299828,0.0254308856013977
"manner - conflated","conflated",0.182968404574764,0.241569874496711,Inf,-0.395344995215054,0.761281804364582,0.75741399856237,0.448801872084488
