"contrast","event_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"path - manner","path",-0.0749941668858814,0.183785275412133,Inf,-0.514972403726609,0.364984069954846,-0.408053184444234,0.890239118615551
"path - conflated","path",-0.215463200618644,0.18593537057008,Inf,-0.660588721835184,0.229662320597897,-1.15880695511581,0.739604645593469
"manner - conflated","path",-0.140469033732762,0.183961925615368,Inf,-0.580870167591668,0.299932100126143,-0.7635766654588,0.890239118615551
"path - manner","manner",0.0754478105334662,0.195815189958361,Inf,-0.393329798724474,0.544225419791407,0.385301112490352,1
"path - conflated","manner",-0.116602151566179,0.197324930471206,Inf,-0.588994049114837,0.355789745982479,-0.590914443946523,1
"manner - conflated","manner",-0.192049962099645,0.197844132648461,Inf,-0.665684819172675,0.281584894973385,-0.970713457754588,0.995072965148003
"path - manner","conflated",-0.266280579968367,0.197861207938328,Inf,-0.739956314940414,0.20739515500368,-1.34579477575698,0.356737421453535
"path - conflated","conflated",-0.370929908045637,0.189303403934174,Inf,-0.824118433100933,0.0822586170096601,-1.95944658329873,0.150181529329684
"manner - conflated","conflated",-0.10464932807727,0.198263683133092,Inf,-0.57928858053551,0.36998992438097,-0.527829032647496,0.597618004505032
