"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.88775485898472,0.0865873796669866,-21.8017321490151,2.23401122856363e-105
"gesture_type1",-0.107646910727916,0.0648441621509169,-1.66008638491435,0.0968970754897787
"gesture_type2",-0.0190379319543216,0.0646415938084745,-0.294515200394483,0.768364249978201
"event_type1",-0.09308658306039,0.065537454630501,-1.42035700936526,0.155503771880735
"event_type2",0.0613753306092635,0.0694825934225921,0.883319513363292,0.37706366367745
"gesture_type1:event_type1",0.0108277882264073,0.087447383921153,0.123820607785937,0.901457314723302
"gesture_type2:event_type1",-0.0027870236613053,0.0886778220198056,-0.0314286435754233,0.974927698160087
"gesture_type1:event_type2",0.0939287970503448,0.0914660062147087,1.02692575020555,0.304455428023493
"gesture_type2:event_type2",-0.0701279922567155,0.0922261633399847,-0.760391517081698,0.447020592391266
