"contrast","gesture_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"path - manner","path",-0.237562922493591,0.195337278924774,Inf,-0.705196422391014,0.230070577403832,-1.21616787026647,0.671762941255698
"path - conflated","path",-0.00921346200835688,0.181655481180866,Inf,-0.44409301448166,0.425666090464947,-0.050719427503448,0.959549095663071
"manner - conflated","path",0.228349460485234,0.196245444332059,Inf,-0.241458169052122,0.69815709002259,1.1635911409941,0.671762941255698
"path - manner","manner",-0.0871209450742433,0.194958031203721,Inf,-0.553846533588339,0.379604643439852,-0.446870254773994,1
"path - conflated","manner",-0.200499875090842,0.195568276761956,Inf,-0.668686379144281,0.267686628962596,-1.02521676015425,0.915782765228019
"manner - conflated","manner",-0.113378930016599,0.196008562578868,Inf,-0.582619469421871,0.355861609388673,-0.578438658622267,1
"path - manner","conflated",-0.138701873441126,0.197663359337316,Inf,-0.611903962858928,0.334500215976675,-0.701707559287349,1
"path - conflated","conflated",-0.16468016943535,0.185857288742679,Inf,-0.60961876433436,0.28025842546366,-0.886057095470443,1
"manner - conflated","conflated",-0.0259782959942237,0.199062181793178,Inf,-0.502529138114891,0.450572546126444,-0.13050342239901,1
