"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.364705981981128,0.0574294605507405,-6.35050335635488,2.14611528145863e-10
"gesture_type1",-0.0373594671599058,0.0806187091921431,-0.463409393852547,0.643070946524554
"gesture_type2",0.0506904948806252,0.0809792456353902,0.625968968751075,0.531335295279358
"polarity1",-1.51636020789198,0.0829052686600572,-18.2902755446054,9.89138454741182e-75
"gesture_type1:polarity1",-0.019240333788054,0.0806169858103227,-0.238663522267169,0.811366504427699
"gesture_type2:polarity1",0.0378358840246773,0.0809773127006158,0.467240548776442,0.640327785790385
