"contrast","gesture_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"affirmative - negative","conflated",-3.07120108336007,0.230995273893401,Inf,-3.5239435007901,-2.61845866593004,-13.2955148025122,2.45775787800951e-40
"affirmative - negative","path",-2.95704864773461,0.232168751281518,Inf,-3.41209103858202,-2.5020062568872,-12.736635018332,3.70012513465811e-37
"affirmative - negative","manner",-3.06991151625721,0.231155684413172,Inf,-3.52296833252873,-2.61685469998569,-13.280709596438,2.99542053697452e-40
