"contrast","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - path","affirmative",-0.145126179853262,0.190118153200991,Inf,-0.600265198195236,0.310012838488712,-0.763347304872228,1
"conflated - manner","affirmative",-0.0246732229906171,0.194326161276584,Inf,-0.489886127663033,0.440539681681799,-0.126968097494087,1
"path - manner","affirmative",0.120452956862645,0.190344580552553,Inf,-0.335228123985093,0.576134037710384,0.632815268567044,1
"conflated - path","negative",-0.0309737442277996,0.20571810457864,Inf,-0.523458731046015,0.461511242590415,-0.150564017159507,1
"conflated - manner","negative",-0.0233836558877557,0.199947788280515,Inf,-0.502054622049698,0.455287310274186,-0.116948809931069,1
"path - manner","negative",0.00759008834004392,0.205449867331867,Inf,-0.484252743927839,0.499432920607927,0.0369437490450334,1
