"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.0812654971207,0.171459706211816,6.30623673054089,2.85901640710715e-10
"sentence_type2",0.321505359766116,0.194755910264332,1.65081182558082,0.0987770046803351
"sentence_type3",-0.0529472878005857,0.191259445056848,-0.276834891917877,0.781906887921755
"event_type2",-0.711141418156504,0.232951059729434,-3.05275030292833,0.00226754533724437
"event_type3",-2.52255445545743,0.217236145140334,-11.6120383825991,3.579785818933e-31
"sentence_type2:event_type2",0.703992877761373,0.297680481842551,2.36492790324671,0.0180335811920299
"sentence_type3:event_type2",-0.718275119177892,0.299141090857482,-2.40112489099699,0.0163447569978181
"sentence_type2:event_type3",0.00281021972461848,0.300683274482787,0.00934611254800391,0.992542989655998
"sentence_type3:event_type3",2.77208054995398,0.290448893699689,9.54412500816817,1.37261374103594e-21
