"contrast","event_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","p_value_adjustment","confidence_interval_adjustment"
"conflated - manner","conflated",-0.321505359766116,0.194755910264332,Inf,-0.787747074834193,0.14473635530196,-1.65081182558082,0.19755400936067,"Holm","Bonferroni"
"conflated - path","conflated",0.0529472878005857,0.191259445056848,Inf,-0.404923960190007,0.510818535791178,0.276834891917877,0.781906887921755,"Holm","Bonferroni"
"manner - path","conflated",0.374452647566702,0.195170429807759,Inf,-0.0927814189149692,0.841686714048373,1.9185931390095,0.165107533728971,"Holm","Bonferroni"
"conflated - manner","manner",-1.02549823752749,0.228388774926364,Inf,-1.5722563512065,-0.478740123848478,-4.49014290592051,1.42350810346503e-05,"Holm","Bonferroni"
"conflated - path","manner",0.771222406978477,0.229974443999969,Inf,0.220668233568058,1.3217765803889,3.35351351900031,0.000797925157851981,"Holm","Bonferroni"
"manner - path","manner",1.79672064450597,0.235931804276649,Inf,1.23190467093293,2.361536618079,7.61542366030128,7.88483834678812e-14,"Holm","Bonferroni"
"conflated - manner","path",-0.324315579490735,0.231930230219952,Inf,-0.879551865604557,0.230920706623087,-1.39833250362908,0.16201324155406,"Holm","Bonferroni"
"conflated - path","path",-2.7191332621534,0.218252132096117,Inf,-3.24162445765882,-2.19664206664797,-12.458679033458,3.76293093505338e-35,"Holm","Bonferroni"
"manner - path","path",-2.39481768266266,0.235429239901214,Inf,-2.95843052727279,-1.83120483805253,-10.172133604422,5.28120187706637e-24,"Holm","Bonferroni"
