"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.02594132824755,0.172733774514912,-5.93943674958007,2.86002992870787e-09
"sentence_type2",-0.0818632502572486,0.222248902226535,-0.368340403201662,0.712619429560101
"sentence_type3",0.171640290749225,0.225556084308593,0.760965022403904,0.446677959309101
"event_type2",0.266706211730091,0.224745985593748,1.18670067020548,0.235345710590227
"event_type3",0.694300627015283,0.230419465921758,3.01320300451977,0.00258505930547726
"sentence_type2:event_type2",-0.429246813195081,0.300859870208817,-1.42673335894599,0.153656766326834
"sentence_type3:event_type2",0.155044832494668,0.306509332814866,0.505840494548062,0.61296862841364
"sentence_type2:event_type3",1.10134416720445,0.328865062213573,3.34892420554304,0.000811259854547383
"sentence_type3:event_type3",-0.986692809278564,0.32306701336807,-3.05414285102028,0.00225704579323762
