"polarity","sentence_type","event_type","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","conflated","conflated",74.9220779220779,29.7466345879603,77,3.38994362537816,6.6442895057412
"affirmative","conflated","manner",56.3492063492063,34.2566964163207,63,4.31593806934391,8.45923861591407
"affirmative","conflated","path",19.2207792207792,23.7534614522552,77,2.70695816001079,5.30563799362115
"affirmative","conflated","no_motion",10.7662337662338,20.3113243652636,77,2.31469023332413,4.53679285731529
"affirmative","manner","conflated",85.0649350649351,18.4828068487686,77,2.10631132307781,4.1283701932325
"affirmative","manner","manner",88,14.9956983079127,63,1.88928040278519,3.70298958945898
"affirmative","manner","path",28.8095238095238,35.8432326553973,63,4.51582284718146,8.85101278047565
"affirmative","manner","no_motion",12.4415584415584,23.3522756168788,77,2.66123879094385,5.21602803024995
"affirmative","path","conflated",74.948051948052,28.3780382578798,77,3.23397759866164,6.33859609337681
"affirmative","path","manner",45.8730158730159,34.7862097553744,63,4.38265047939284,8.58999493960997
"affirmative","path","path",81.4285714285714,25.8560939429173,77,2.9465753707294,5.77528772662963
"affirmative","path","no_motion",34.5238095238095,36.705830222871,63,4.62449992551787,9.06401985401502
"negative","conflated","conflated",18.4444444444444,30.2483152171605,63,3.81092950682368,7.46942183337442
"negative","conflated","manner",26.6363636363636,32.1999955422149,77,3.66953005398858,7.19227890581762
"negative","conflated","path",44.1428571428571,37.6310000650875,63,4.74106036947033,9.29247832416185
"negative","conflated","no_motion",54.3968253968254,37.6029939107203,63,4.73753192567819,9.28556257432925
"negative","manner","conflated",20.8181818181818,29.8763800706244,77,3.40472949537559,6.67326981093616
"negative","manner","manner",15.3636363636364,23.4413653112506,77,2.67139150387108,5.23592734758731
"negative","manner","path",64.5079365079365,31.9515121636565,63,4.02551215226145,7.89000381843244
"negative","manner","no_motion",68.5555555555556,30.6293016874985,63,3.85892929031867,7.56350140902459
"negative","path","conflated",24.5555555555556,28.611850566357,63,3.60475434037729,7.06531850713949
"negative","path","manner",41.2337662337662,34.2862931427553,77,3.90728573121253,7.65828003317655
"negative","path","path",18.6031746031746,29.034206568282,63,3.65796619494058,7.16961374208353
"negative","path","no_motion",51.3246753246753,40.1590396058503,77,4.57654730354813,8.97003271495434
