"contrast","event_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","p_value_adjustment","confidence_interval_adjustment"
"conflated - manner","conflated",0.0818632502572486,0.222248902226535,Inf,-0.450196132204916,0.613922632719413,0.368340403201662,0.893355918618201,"Holm","Bonferroni"
"conflated - path","conflated",-0.171640290749225,0.225556084308593,Inf,-0.711617000310157,0.368336418811706,-0.760965022403904,0.893355918618201,"Holm","Bonferroni"
"manner - path","conflated",-0.253503541006474,0.225647226991522,Inf,-0.79369844430924,0.286691362296292,-1.12345072610176,0.783738349150551,"Holm","Bonferroni"
"conflated - manner","manner",0.51111006345233,0.205049769156136,Inf,0.0202250581350911,1.00199506876957,2.49261467377289,0.0253612751899763,"Holm","Bonferroni"
"conflated - path","manner",-0.326685123243893,0.208005053186651,Inf,-0.824645018832911,0.171274772345125,-1.57056339852833,0.116284097353773,"Holm","Bonferroni"
"manner - path","manner",-0.837795186696223,0.209973975107478,Inf,-1.34046864159112,-0.335121731801327,-3.9899953614127,0.000198223762325422,"Holm","Bonferroni"
"conflated - manner","path",-1.0194809169472,0.241487245504071,Inf,-1.59759650459776,-0.441365329296645,-4.2216760343561,4.84984934347186e-05,"Holm","Bonferroni"
"conflated - path","path",0.815052518529339,0.231655677392045,Inf,0.260473506339511,1.36963153071917,3.51837920704174,0.00043419143329862,"Holm","Bonferroni"
"manner - path","path",1.83453343547654,0.242891402381033,Inf,1.25305632462676,2.41601054632633,7.55289572826723,1.27705739114325e-13,"Holm","Bonferroni"
