"contrast","sentence_type","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - manner","conflated","affirmative",0.661203341287619,0.184885806717048,Inf,0.218590454733856,1.10381622784138,3.57627961295879,0.000348518872246834
"conflated - path","conflated","affirmative",1.75378363091988,0.177331631001714,Inf,1.3292552884329,2.17831197340685,9.88985225598543,1.38212198644864e-22
"manner - path","conflated","affirmative",1.09258028963226,0.182762206848767,Inf,0.655051258266058,1.53010932099846,5.97815220373407,4.51365657405955e-09
"conflated - manner","manner","affirmative",-0.161210018140295,0.190833985251611,Inf,-0.618062723951515,0.295642687670926,-0.84476576815048,0.39824163081603
"conflated - path","manner","affirmative",1.80727050071337,0.203670865392421,Inf,1.31968656315236,2.29485443827438,8.87348564671353,1.41782762381292e-18
"manner - path","manner","affirmative",1.96848051885367,0.199970329911169,Inf,1.48975558848328,2.44720544922405,9.84386293570703,2.18575189235857e-22
"conflated - manner","path","affirmative",0.937207106750526,0.18520215521532,Inf,0.493836888282197,1.38057732521886,5.06045464568653,8.36515889393249e-07
"conflated - path","path","affirmative",-0.299764481433959,0.184315142366045,Inf,-0.741011209058942,0.141482246191025,-1.62636925857472,0.103871126392615
"manner - path","path","affirmative",-1.23697158818449,0.192283441731029,Inf,-1.69729426352815,-0.776648912840823,-6.43306348715556,3.75172152816819e-10
"conflated - manner","conflated","negative",-0.392813782292331,0.200717812170372,Inf,-0.873328170091966,0.0877006055073047,-1.95704495801751,0.0503421828451392
"conflated - path","conflated","negative",-1.14663433108616,0.196994055642808,Inf,-1.61823412097937,-0.675034541192958,-5.82065447276874,1.75852916082096e-08
"manner - path","conflated","negative",-0.753820548793832,0.189236951045783,Inf,-1.20684998697668,-0.300791110610984,-3.98347439349441,0.000135829984833239
"conflated - manner","manner","negative",0.144101884531151,0.193384617643679,Inf,-0.318856983703444,0.607060752765745,0.745156912100762,0.456176867344005
"conflated - path","manner","negative",-1.44404508559052,0.199802351368947,Inf,-1.92236787872402,-0.965722292457017,-7.22736782473596,9.84890053282134e-13
"manner - path","manner","negative",-1.58814697012167,0.198166591359423,Inf,-2.06255378683502,-1.11374015340832,-8.01420138090369,3.32564840972585e-15
"conflated - manner","path","negative",-0.571633052757449,0.187104472737101,Inf,-1.01955738094576,-0.123708724569137,-3.05515439794241,0.00449889374943467
"conflated - path","path","negative",0.268201050155907,0.192869930053691,Inf,-0.193525666385037,0.729927766696851,1.390579910934,0.164352851637231
"manner - path","path","negative",0.839834102913356,0.192631316586289,Inf,0.378678622193335,1.30098958363338,4.35980046129806,3.90543287138277e-05
