"contrast","event_type","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - manner","conflated","affirmative",-0.358371400988493,0.17877392435962,Inf,-0.786352564639705,0.0696097626627193,-2.00460666885399,0.135015339426509
"conflated - path","conflated","affirmative",-0.0379710630377748,0.17673371129972,Inf,-0.46106799783626,0.38512587176071,-0.214849010743515,0.829885039988356
"manner - path","conflated","affirmative",0.320400337950718,0.178767994929103,Inf,-0.107566630763613,0.74836730666505,1.79226901368885,0.146179768658554
"conflated - manner","manner","affirmative",-1.18078476041641,0.183691432383189,Inf,-1.62053833894149,-0.741031181891326,-6.42808837133589,2.58437234006901e-10
"conflated - path","manner","affirmative",0.238032702425133,0.176606316578666,Inf,-0.184759251984546,0.660824656834811,1.34781533886477,0.177717783159392
"manner - path","manner","affirmative",1.41881746284154,0.183710268284157,Inf,0.979018791550029,1.85861613413305,7.72312552854673,3.40533857633259e-14
"conflated - manner","path","affirmative",-0.304884531194999,0.197893590590601,Inf,-0.778637789582451,0.168868727192453,-1.5406488420625,0.123402273880736
"conflated - path","path","affirmative",-2.09151917539161,0.185204303087294,Inf,-2.53489453582206,-1.64814381496116,-11.2930376914936,4.26123501195602e-29
"manner - path","path","affirmative",-1.78663464419661,0.207664245274518,Inf,-2.28377865252836,-1.28949063586486,-8.60347741535767,1.54672953722078e-17
"conflated - manner","conflated","negative",-0.18067961662133,0.208840753628462,Inf,-0.680640162186741,0.319280928944081,-0.865154973261436,0.541599919821087
"conflated - path","conflated","negative",-0.400120471666954,0.198109185216899,Inf,-0.874389859234712,0.074148915900805,-2.01969672041649,0.130244566502176
"manner - path","conflated","negative",-0.219440855045624,0.199270278154372,Inf,-0.696489875651407,0.257608165560159,-1.10122220472651,0.541599919821087
"conflated - manner","manner","negative",0.356236050202152,0.185479238672339,Inf,-0.0877975004651445,0.800269600869448,1.92062493221392,0.0547790096114959
"conflated - path","manner","negative",-0.578939742132072,0.174113738226793,Inf,-0.995764514317901,-0.162114969946243,-3.32506640790155,0.00176794954422321
"manner - path","manner","negative",-0.935175792334224,0.182058155058942,Inf,-1.37101933793756,-0.499332246730891,-5.13668718674787,8.38871459111925e-07
"conflated - manner","path","negative",-0.478090371125684,0.185805155236631,Inf,-0.92290415946432,-0.0332765827870483,-2.57307376922247,0.0100799720118759
"conflated - path","path","negative",1.01471490957512,0.192312671416586,Inf,0.554322258954674,1.47510756019556,5.27638091707981,2.63520130877105e-07
"manner - path","path","negative",1.4928052807008,0.19379992074025,Inf,1.02885218524221,1.95675837615939,7.7028167761823,3.99297423227448e-14
