"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.894195378044772,0.146532053149563,6.10238755838685,1.04495619635267e-09
"sentence_type2",0.358371400988493,0.17877392435962,2.00460666885399,0.0450051131421697
"sentence_type3",0.0379710630377748,0.17673371129972,0.214849010743515,0.829885039988356
"event_type2",-0.661203341287619,0.184885806717048,-3.57627961295879,0.000348518872246834
"event_type3",-1.75378363091988,0.177331631001714,-9.88985225598543,4.60707328816214e-23
"polarity2",-1.98299819889808,0.202824135714431,-9.7769340513304,1.41429894710182e-22
"scenario2",-0.0266823047488099,0.100512463200229,-0.265462649101103,0.790653079633923
"scenario3",-0.128824701256555,0.0985156215007348,-1.30765760083637,0.190989470356239
"scenario4",-0.0906275935263536,0.0991654833258445,-0.913902604886858,0.360768024797718
"scenario5",-0.231291830191874,0.0983046347693618,-2.3528069732879,0.0186323034279248
"sentence_type2:event_type2",0.822413359427914,0.255428899034549,3.21973497335819,0.00128309158716652
"sentence_type3:event_type2",-0.276003765462907,0.249755816237118,-1.10509444633261,0.269118666804963
"sentence_type2:event_type3",-0.0534868697934942,0.265892681119117,-0.20115961661063,0.840573767277945
"sentence_type3:event_type3",2.05354811235384,0.255804885499138,8.02779082325522,9.92435024411976e-16
"sentence_type2:polarity2",-0.177691784367163,0.274753541646331,-0.646731551857091,0.517805698906234
"sentence_type3:polarity2",0.362149408629179,0.265522865197886,1.36391044273826,0.172595753770665
"event_type2:polarity2",1.05401712357995,0.282578114935322,3.73000267137177,0.000191477740405337
"event_type3:polarity2",2.90041796200604,0.267010697633903,10.8625534021966,1.73819825203117e-27
"sentence_type2:event_type2:polarity2",-1.3593290262514,0.378308905933221,-3.5931721535822,0.000326676601202815
"sentence_type3:event_type2:polarity2",0.454823035928026,0.363166625801003,1.2523811485289,0.210431012163844
"sentence_type2:event_type3:polarity2",0.350897624297849,0.377696514900022,0.929046497531841,0.352864989850951
"sentence_type3:event_type3:polarity2",-3.4683834935959,0.378243763885806,-9.16970436726891,4.74318038794432e-20
