"model","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"reduced_model",22,1868.14992946667,1981.20500346547,-912.074964733333,1824.14992946667,NA,NA,NA
"full_model",26,1637.35118208816,1770.96172408674,-792.67559104408,1585.35118208816,238.798747378507,4,1.683197555713e-50
