"sentence_type","event_type","polarity","observations"
"conflated","conflated","affirmative",77
"manner","conflated","affirmative",77
"path","conflated","affirmative",77
"conflated","manner","affirmative",63
"manner","manner","affirmative",63
"path","manner","affirmative",63
"conflated","path","affirmative",77
"manner","path","affirmative",63
"path","path","affirmative",77
"conflated","conflated","negative",63
"manner","conflated","negative",77
"path","conflated","negative",63
"conflated","manner","negative",77
"manner","manner","negative",77
"path","manner","negative",77
"conflated","path","negative",63
"manner","path","negative",63
"path","path","negative",63
