"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.23641038384933,0.189678108949999,-6.51846642026182,7.10298338885372e-11
"sentence_type2",0.340335562350072,0.239512166857091,1.42095312658224,0.155330386704497
"sentence_type3",0.0510040653944482,0.250402399888973,0.203688404811867,0.838597003863769
"event_type2",1.51799576258674,0.251722062768419,6.03044383909755,1.6350998682237e-09
"event_type3",0.326943332035223,0.254369254267109,1.28530994430603,0.198683996541594
"sentence_type2:event_type2",-1.98520599594894,0.348330497521069,-5.6992023669385,1.20369273563753e-08
"sentence_type3:event_type2",0.393796972379858,0.354240506190796,1.11166556477242,0.266281970811053
"sentence_type2:event_type3",0.659124232979035,0.333165006720018,1.9783717367801,0.0478867857372708
"sentence_type3:event_type3",-0.494180902396638,0.337412404953702,-1.46461983952382,0.143024666085505
