"contrast","event_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","p_value_adjustment","confidence_interval_adjustment"
"conflated - path","conflated",0.111247721354145,0.220952641695005,Inf,-0.417708439580235,0.640203882288524,0.503491248173021,0.614618931963096,"Holm","Bonferroni"
"conflated - manner","conflated",-0.281819438173632,0.218488987289081,Inf,-0.804877660226496,0.241238783879231,-1.28985648965803,0.394200980295033,"Holm","Bonferroni"
"path - manner","conflated",-0.393067159527777,0.225843840875328,Inf,-0.933732752496739,0.147598433441185,-1.74043780872802,0.245346514386375,"Holm","Bonferroni"
"conflated - path","path",-2.76191937640214,0.238786159791543,Inf,-3.33356861941933,-2.19027013338495,-11.5664968975307,1.82758570277283e-30,"Holm","Bonferroni"
"conflated - manner","path",-0.338754973630671,0.259136239924417,Inf,-0.959121897410647,0.281611950149306,-1.30724661949821,0.191128967056885,"Holm","Bonferroni"
"path - manner","path",2.42316440277147,0.266091053968331,Inf,1.78614779465887,3.06018101088407,9.10652337473875,1.70128293261558e-19,"Holm","Bonferroni"
"conflated - path","manner",0.425039928144529,0.254720571486658,Inf,-0.184755974592757,1.03483583088182,1.66865175303202,0.0951864159880578,"Holm","Bonferroni"
"conflated - manner","manner",-1.26915478867376,0.246682230298085,Inf,-1.85970706498155,-0.678602512365962,-5.14489749480592,5.35333848846625e-07,"Holm","Bonferroni"
"path - manner","manner",-1.69419471681828,0.253795779691163,Inf,-2.30177668667812,-1.08661274695845,-6.67542509524746,7.39549651664217e-11,"Holm","Bonferroni"
