"field","value"
"analysis","Baseline Study 2 dissertation-reproduction analysis"
"input_file","data/processed/baseline2_no_event.csv"
"recruited_participants","40"
"excluded_participants","0"
"analysed_participants","40"
"model_observations","400"
"gesture_conditions","4"
"scenarios","5"
"family","beta"
"link","logit"
"endpoint_transformation","epsilon = 1e-6"
"polarity_contrasts","sum"
"gesture_contrasts","sum"
"gesture_levels","conflated | manner | path | none"
"model_formula","rating_scaled ~ polarity * gesture_type + (1 | participant_id) +      (1 | scenario)"
"convergence_code","0"
"positive_definite_hessian","TRUE"
"random_seed","123"
"glmmTMB_version","1.1.14"
"emmeans_version","2.0.4"
"DHARMa_version","0.5.0"
