"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0669742973912468,0.182568699557848,-0.366844358060543,0.713735117879425
"polarity1",0.303262628300791,0.0634855222943825,4.7768785282188,1.78037246986318e-06
"gesture_type1",-0.109284444606724,0.108877935268907,-1.00373362460275,0.315507025215111
"gesture_type2",-0.226676716848061,0.109324209034502,-2.07343569050221,0.0381317502850436
"gesture_type3",0.126493047399619,0.110161495482964,1.14825100045215,0.250864960726952
"polarity1:gesture_type1",0.142652182104885,0.109192402097482,1.30642956253982,0.191406518022977
"polarity1:gesture_type2",-0.212151698390737,0.110033170142417,-1.92807040019066,0.053846370126828
"polarity1:gesture_type3",0.0555358774029219,0.110655776518821,0.501879604933918,0.615752212493831
