"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated effect",-0.109284444606724,0.108877935268907,Inf,-0.322681276444866,0.104112387231417,-1.00373362460275,0.315507025215111
"manner effect",-0.226676716848061,0.109324209034502,Inf,-0.440948229194014,-0.0124052045021088,-2.07343569050221,0.0381317502850436
"path effect",0.126493047399619,0.110161495482964,Inf,-0.0894195162300627,0.342405611029301,1.14825100045215,0.250864960726952
"none effect",0.209468114055166,0.114586324350484,Inf,-0.0151169547926069,0.43405318290294,1.82803764098819,0.0675439026616735
