"polarity","gesture_presence","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","gesture",58.7581699346405,32.4095961552226,153,2.62016055356068,5.13551468497893
"affirmative","no_gesture",58,30.168368116002,47,4.40050875874599,8.62499716714214
"negative","gesture",39.9261744966443,33.8240866438943,149,2.770977146108,5.43111520637168
"negative","no_gesture",53.4117647058824,37.4652780427895,51,5.24618826858901,10.2825290064345
