"polarity","gesture_type","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","conflated",63.3703703703704,32.5027118150461,54,4.42305884464405,8.66919533550235
"affirmative","manner",49.62,30.3045022586225,50,4.28570380951101,8.39997946664157
"affirmative","path",63,33.0599203467482,49,4.72284576382117,9.25677769708949
"affirmative","none",58,30.168368116002,47,4.40050875874599,8.62499716714214
"negative","conflated",37.7,33.7011172829989,50,4.76605771287434,9.34147311723371
"negative","manner",40.3333333333333,35.1000596067466,48,5.06625721563176,9.92986414263825
"negative","path",41.7254901960784,33.2698532797321,51,4.65871129461428,9.131074137444
"negative","none",53.4117647058824,37.4652780427895,51,5.24618826858901,10.2825290064345
