"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_005","Aff M A_1",70,"affirmative",,"manner",,"A","leaf","1",,33.0906163268212,,TRUE,
"baseline2","baseline2_005","Aff C E_1",86,"affirmative",,"conflated",,"E","chair","1",,33.0906163268212,,TRUE,
"baseline2","baseline2_005","Aff M D_1",92,"affirmative",,"manner",,"D","plank","1",,33.0906163268212,,TRUE,
"baseline2","baseline2_005","Neg P A_1",97,"negative",,"path",,"A","leaf","1",,33.0906163268212,,TRUE,
"baseline2","baseline2_006","Neg P C_1",15,"negative",,"path",,"C","paper","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Aff P A_1",31,"affirmative",,"path",,"A","leaf","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Neg 0 D_1",36,"negative",,"none",,"D","plank","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Neg M E_1",62,"negative",,"manner",,"E","chair","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Aff 0 E_1",76,"affirmative",,"none",,"E","chair","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Aff 0 B_1",80,"affirmative",,"none",,"B","car","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Aff P D_1",81,"affirmative",,"path",,"D","plank","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Neg M A_1",81,"negative",,"manner",,"A","leaf","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Aff M C_1",88,"affirmative",,"manner",,"C","paper","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_006","Neg C B_1",90,"negative",,"conflated",,"B","car","1",,26.8907253734649,,TRUE,
"baseline2","baseline2_007","Neg C D_1",7,"negative",,"conflated",,"D","plank","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Aff C E_1",7,"affirmative",,"conflated",,"E","chair","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Neg P A_1",7,"negative",,"path",,"A","leaf","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Aff C B_1",16,"affirmative",,"conflated",,"B","car","1",,34.4494799186674,,TRUE,
