"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline1","baseline1_005","Neg 0 B_1",100,"negative",,,"no_motion","B","car","1",,51.0173173213436,,TRUE,
"baseline1","baseline1_005","Aff C B_1",100,"affirmative",,,"conflated","B","car","1",,51.0173173213436,,TRUE,
"baseline1","baseline1_005","Aff C C_1",100,"affirmative",,,"conflated","C","paper","1",,51.0173173213436,,TRUE,
"baseline1","baseline1_005","Aff P E_1",100,"affirmative",,,"path","E","chair","1",,51.0173173213436,,TRUE,
"baseline1","baseline1_006","Aff M A_1",0,"affirmative",,,"manner","A","leaf","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Neg M C_1",0,"negative",,,"manner","C","paper","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Aff 0 D_1",0,"affirmative",,,"no_motion","D","plank","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Neg C A_1",0,"negative",,,"conflated","A","leaf","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Neg C D_1",0,"negative",,,"conflated","D","plank","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Neg M E_1",0,"negative",,,"manner","E","chair","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Neg 0 B_1",50,"negative",,,"no_motion","B","car","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Aff C C_1",50,"affirmative",,,"conflated","C","paper","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Aff C B_1",65,"affirmative",,,"conflated","B","car","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_006","Aff P E_1",90,"affirmative",,,"path","E","chair","1",,34.6770817687994,,TRUE,
"baseline1","baseline1_007","Neg M C_1",0,"negative",,,"manner","C","paper","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Aff 0 D_1",0,"affirmative",,,"no_motion","D","plank","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Neg C A_1",0,"negative",,,"conflated","A","leaf","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Neg C D_1",0,"negative",,,"conflated","D","plank","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Neg M E_1",0,"negative",,,"manner","E","chair","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Neg 0 B_1",5,"negative",,,"no_motion","B","car","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Aff C B_1",65,"affirmative",,,"conflated","B","car","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Aff C C_1",88,"affirmative",,,"conflated","C","paper","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Aff P E_1",98,"affirmative",,,"path","E","chair","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_007","Aff M A_1",100,"affirmative",,,"manner","A","leaf","1",,45.8553280558662,,TRUE,
"baseline1","baseline1_008","Neg P C_1",5,"negative",,,"path","C","paper","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Neg P E_1",8,"negative",,,"path","E","chair","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Neg C B_1",10,"negative",,,"conflated","B","car","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Neg 0 D_1",25,"negative",,,"no_motion","D","plank","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Aff P A_1",50,"affirmative",,,"path","A","leaf","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Aff 0 B_1",55,"affirmative",,,"no_motion","B","car","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Aff C D_1",89,"affirmative",,,"conflated","D","plank","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Neg M A_1",89,"negative",,,"manner","A","leaf","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Aff M C_1",91,"affirmative",,,"manner","C","paper","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_008","Aff C E_1",93,"affirmative",,,"conflated","E","chair","1",,37.3994949460848,,TRUE,
"baseline1","baseline1_009","Neg C C_1",0,"negative",,,"conflated","C","paper","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Aff 0 C_1",0,"affirmative",,,"no_motion","C","paper","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Neg P D_1",0,"negative",,,"path","D","plank","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Neg M B_1",0,"negative",,,"manner","B","car","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Neg 0 E_1",80,"negative",,,"no_motion","E","chair","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Neg 0 A_1",80,"negative",,,"no_motion","A","leaf","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Aff C A_1",100,"affirmative",,,"conflated","A","leaf","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Aff P B_1",100,"affirmative",,,"path","B","car","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Aff M D_1",100,"affirmative",,,"manner","D","plank","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_009","Aff M E_1",100,"affirmative",,,"manner","E","chair","1",,48.8080139139283,,TRUE,
"baseline1","baseline1_010","Aff 0 A_1",0,"affirmative",,,"no_motion","A","leaf","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Neg C E_1",0,"negative",,,"conflated","E","chair","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Neg P B_1",0,"negative",,,"path","B","car","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Neg P A_1",0,"negative",,,"path","A","leaf","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Aff 0 E_1",0,"affirmative",,,"no_motion","E","chair","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Neg M D_1",0,"negative",,,"manner","D","plank","1",,51.6397779494322,,TRUE,
