"polarity","event_type","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","conflated",81.56,24.5566068253639,50,3.47282864182934,6.8067441379855
"affirmative","manner",76.08,31.0764954817716,50,4.39488013813476,8.61396507074413
"affirmative","path",83.32,26.0591477925405,50,3.68532002320957,7.22322724549076
"affirmative","no_motion",10.5,20.3352012078382,50,2.87583173417106,5.63663019897527
"negative","conflated",1.78,3.54728985369429,50,0.501662542076294,0.983258582469535
"negative","manner",9.28,20.8738093880189,50,2.95200243349272,5.78592476964573
"negative","path",1.1,2.20620645878293,50,0.312004709540594,0.611529230699564
"negative","no_motion",66.72,34.5549193166413,50,4.88680355443022,9.57813496668324
