"contrast","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - manner","affirmative",0.34596021903586,0.239366717117184,Inf,-0.227078866491551,0.91899930456327,1.44531463355656,0.445108588022143
"conflated - path","affirmative",0.0250505149714343,0.234901279503107,Inf,-0.537298403110526,0.587399433053395,0.106642735298949,0.915072414014941
"manner - path","affirmative",-0.320909704064426,0.239652111271786,Inf,-0.894632017432939,0.252812609304088,-1.3390647900468,0.445108588022143
"conflated - manner","negative",-0.137243889560316,0.223364779974372,Inf,-0.671974660809869,0.397486881689237,-0.614438362109116,1
"conflated - path","negative",0.0119127646690519,0.22190971060341,Inf,-0.519334599899084,0.543160129237188,0.0536829354454976,1
"manner - path","negative",0.149156654229368,0.223256040858103,Inf,-0.385313797772385,0.683627106231121,0.66809683471978,1
