"contrast","event_type","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"affirmative - negative","conflated",3.53420056721966,0.280356160868314,Inf,2.98471258907385,4.08368854536547,12.606109872077,1.95402368811413e-36
"affirmative - negative","manner",3.05099645862348,0.278763065860768,Inf,2.50463088931641,3.59736202793056,10.9447657608535,7.03994602091353e-28
"affirmative - negative","path",3.52106281691728,0.280264816368536,Inf,2.97175387070122,4.07037176313334,12.563342279422,3.35840403176384e-36
